Allele,D3S1358,TH01,D21S11,D18S51,D10S1248,D1S1656,D2S1338,D16S539,D22S1045,VWA,D8S1179,FGA,D2S441,D12S391,D19S433,SE33
5,,0.00259844093543874,,,,,,,,,,,,,,
6,,0.209274435338797,,,,,,0.000899280575539568,,,,,,,,
6.3,,,,,,,,,,,,,,,,
7,,0.212472516490106,,0.000898472596585804,,,,,,,,,,,,
8,,0.0836498101139316,,,,,,0.00869304556354916,,,0.0113022566077856,,,,,
8.2,,,,,,,,,,,,,,,,0.002506945333238
9,,0.140915450729562,,0.000998302885095338,,,,0.13449240607514,,,0.00920183723819713,,,,,
9.1,,,,,,,,,,,,,,,,
9.3,,0.344293423945633,,,,,,,,,,,,,,
10,0.00089865202196705,0.00589646212272636,,0.0105820105820106,,0.002,,0.052158273381295,,,0.096419251061109,,0.172897,,,
10.1,,,,,,,,,,,,,,,,
11,0.00559161258112831,0.000899460323805717,,0.00638913846461016,0.00467300467300467,0.077,,0.316446842525979,0.154213618152737,,0.0769153569149303,,0.397196,,,
11.1,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,,0.037383,,,
11.4,,,,,,,,,,,,,,,,
12,,,,0.132075471698113,0.028037028037028,0.148,,0.273681055155875,0.0186929234304175,0.000898472596585804,0.140027957972565,,0.03271,,0.074766,0.006556626256162
13,0.00329505741387918,,,0.127882599580713,0.285047285047285,0.045,,0.180755395683453,0.00467323085760437,0.000898472596585804,0.337267338773921,,0.018692,,0.242991,0.006556626256162
13.1,,,,,,,,,,,,,0.004673,,,
13.2,,,,,,,,,,,,,,,0.009346,0.002506945333238
13.4,,,,,,,,,,,,,,,,
14,0.124113829256116,,,0.181291803933313,0.303738303738304,0.075,,0.0300759392486011,0.0420076751791538,0.0922431865828092,0.202140359330396,,0.294393,,0.327103,0.0325902893321
14.1,,,,,,,,,,,,,,,,
14.2,,,,,,,,,,,,,,,0.014019,0.002506945333238
15,0.270993509735397,,,0.139862234201857,0.21962621962622,0.133,,0.00279776179056755,0.29440754373266,0.0754716981132076,0.0991197902505799,,0.03271,0.0418247155120783,0.205607,0.035579339537115
15.2,,,,,,,,,,,,,,,0.023364,0.002506945333238
15.3,,,,,,0.07,,,,,,,,,,0.002506945333238
16,0.23155267099351,,,0.116102625536588,0.116822116822117,0.113,0.0373830373830374,,0.397215622451749,0.21842867125886,0.0259051722249245,,0.009346,0.0234577760031943,0.060748,0.047149856459754
16.1,,,,,,,,,,,,,,,,0.002506945333238
16.2,,,,,,,,,,,,,,,0.028037,0.002506945333238
16.3,,,,,,0.065,,,,,,,,0.000898382910760631,,0.002506945333238
17,0.202695956065901,,,0.0971348707197764,0.0420560420560421,0.04,0.233645233645234,,0.0794429244804693,0.294599181391634,0.00170067962559198,0.000896950368746263,,0.129466959472949,0.009346,0.050138906664769
17.2,,,,,,,,,,,,,,,0.004673,
17.3,,,,,,0.153,,,,,,,,0.0143741265721701,,0.002506945333238
18,0.140988517224164,,,0.0849555755216133,,0.002,0.0794390794390794,,0.00934646171520873,0.204252770290506,,0.0248156268686466,,0.177380714713516,,0.062191528459185
18.3,,,,0.000898472596585804,,0.07,,,,,,,,0.010481133958874,,
19,0.017373939091363,,,0.0625935908954777,,,0.107477107477107,,,0.0898472596585804,,0.0603946581622484,,0.114493910960272,,0.077233200458616
19.2,,,,,,,,,,,,0.000896950368746263,,,,0.002506945333238
19.3,,,,,,0.007,,,,,,,,0.00678778199241366,,0.002506945333238
20,0.00159760359460809,,,0.0213636817410402,,,0.163551163551164,,,0.0189677548168114,,0.160354793701415,,0.112297863845079,,0.036639970255024
20.2,,,,,,,,,,,,0.000896950368746263,,,,0.008002940871492
20.3,,,,,,,,,,,,,,0.000898382910760631,,
21,0.00089865202196705,,,0.0070879504841769,,,0.028037028037028,,,0.00259558750124788,,0.169124975084712,,0.0981233779197445,,0.019573457794131
21.1,,,,,,,,,,,,,,,,0.002506945333238
21.2,,,,,,,,,,,,0.00239186764999003,,,,0.02208040312737
22,,,,0.00499151442547669,,,0.028037028037028,,,0.000898472596585804,,0.167630057803468,,0.113795168696347,,0.010991991076507
22.1,,,,,,,,,,,,,,,,0.002506945333238
22.2,,,,,,,,,,,,0.00867052023121387,,,,0.02208040312737
23,,,,0.00139762403913347,,,0.0887850887850888,,,,,0.13832967909109,,0.089239369135556,,0.002506945333238
23.2,,,,,,,,,,,,0.006079330277058,,,,0.033650920050008
24,,,,0.00169711490466207,,,0.0981310981310981,,,0.000898472596585804,,0.133745266095276,,0.0426232780994211,,0.002506945333238
24.2,,,0.000897308075772682,,,,,,,,,0.000996611520829181,,,,0.035097234665338
25,,,0.000897308075772682,0.000898472596585804,,,0.121495121495122,,,,,0.0841140123579829,,0.0154721501297664,,
25.2,,,0.000897308075772682,,,,,,,,,0.000896950368746263,,,,0.042135965793277
26,,,0.00309072781655035,,,,0.014019014019014,,,,,0.0301973290811242,,0.00658814134557796,,0.002506945333238
26.2,,,0.000897308075772682,,,,,,,,,0.000896950368746263,,,,0.046667751587978
27,,,0.0351944167497507,0.000898472596585804,,,,,,,,0.006079330277058,,0.000898382910760631,,
27.2,,,,,,,,,,,,,,,,0.083789826714778
28,,,0.1740777666999,,,,,,,,,0.00169423958540961,,0.000898382910760631,,0.002506945333238
28.2,,,,,,,,,,,,,,,,0.084271931586554
29,,,0.228115653040877,,,,,,,,,0.000896950368746263,,,,
29.2,,,0.000897308075772682,,,,,,,,,,,,,0.079258040920077
29.3,,,0.000897308075772682,,,,,,,,,,,,,
30,,,0.250947158524427,,,,,,,,,,,,,
30.2,,,0.0333000997008973,,,,,,,,,,,,,0.052163747126231
31,,,0.0834496510468594,,,,,,,,,,,,,0.002506945333238
31.2,,,0.0713858424725823,,,,,,,,,,,,,0.028637029383532
32,,,0.0138584247258225,,,,,,,,,,,,,
32.2,,,0.0732801595214357,,,,,,,,,,,,,0.01050988620473
33,,,0.00139581256231306,,,,,,,,,,,,,0.002989050205015
33.2,,,0.0241276171485543,,,,,,,,,,,,,0.002989050205015
34,,,,,,,,,,,,,,,,0.002506945333238
34.2,,,0.00239282153539382,,,,,,,,,,,,,0.002506945333238
35,,,,,,,,,,,,,,,,0.002506945333238
35.2,,,,,,,,,,,,,,,,0.002506945333238
36,,,,,,,,,,,,,,,,0.002506945333238
37,,,,,,,,,,,,,,,,0.002814283217225
